Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Warm Female,-0.014146,0.007506,0.985953342,0.971555299,1.000565,-0.157648,0.091251,0.984358802,0.966909913,1.002123,0.000254,0.000868,1.003250907,0.98164694,1.02533,-0.001091,0.001064,0.992933721,0.979569329,1.00648
Warm Male,-0.004784,0.009512,0.995227404,0.976844591,1.013956,-0.179214,0.117488,0.982238273,0.959878037,1.005119,-0.001764,0.001092,0.977671637,0.951255209,1.004822,0.000505,0.001353,1.003286067,0.986140049,1.02073
Cold All,-0.018176,0.006835,0.981988484,0.968920778,0.995232,-0.083734,0.048726,0.991661587,0.982235925,1.001178,-0.000281,0.000824,0.99641117,0.976029655,1.017218,-0.001968,0.000758,0.987288942,0.977798289,0.996872
Cold Female,0.000454,0.008511,1.000453975,0.983903262,1.017283,0.013066,0.060679,1.001307487,0.989469351,1.013287,-0.001363,0.001029,0.982707473,0.957660042,1.00841,-0.000924,0.000945,0.99401199,0.982111159,1.006057
Cold Male,-0.047833,0.01094,0.953293117,0.933069415,0.973955,-0.237084,0.0781,0.976570431,0.9617353,0.991634,0.0014,0.00131,1.018083325,0.985162545,1.052104,-0.003613,0.001212,0.97678681,0.961820698,0.991986
Age 0-10 All,-0.016679,0.03107,0.983459393,0.925356447,1.045211,-0.150422,0.285731,0.985070369,0.931419534,1.041812,0.00011,0.003665,1.001410703,0.913429542,1.097866,0.000652,0.003918,1.004248511,0.95534741,1.055653
Age 0-10 Female,-0.002261,0.041348,0.997741101,0.920071471,1.081967,-0.134549,0.392717,0.986635203,0.913540652,1.065578,0.002173,0.0049,1.028202252,0.909255252,1.16271,0.000534,0.005272,1.003475634,0.938284667,1.073196
Age 0-10 Male,-0.027014,0.039897,0.973347469,0.90013359,1.052516,-0.150679,0.357261,0.985045072,0.918428689,1.056493,-0.001827,0.004689,0.976885549,0.868473838,1.09883,0.001023,0.004984,1.006671251,0.944737208,1.072665
Age 11-60 All,-0.023952,0.007503,0.976332211,0.962079928,0.990796,-0.192056,0.068158,0.980977643,0.967959861,0.99417,-0.000727,0.00088,0.99073335,0.969093494,1.012856,-0.002248,0.000945,0.98549399,0.973697896,0.997433
Age 11-60 Female,-0.017897,0.009343,0.982262449,0.964439314,1.000415,-0.104504,0.084465,0.989604054,0.973355933,1.006123,-0.000527,0.0011,0.993272085,0.966235624,1.021065,-0.001562,0.001175,0.989895311,0.975188588,1.004824
Age 11-60 Male,-0.034841,0.012216,0.965758759,0.942909719,0.989161,-0.351238,0.111933,0.965485926,0.9445349,0.986902,-0.001079,0.001422,0.986287966,0.951726565,1.022104,-0.003504,0.001543,0.977480202,0.958456172,0.996882
Age 60+All,0.008294,0.012118,1.008328662,0.984662452,1.032564,0.086906,0.110084,1.008728475,0.987196765,1.03073,0.000806,0.001412,1.010367285,0.975193118,1.04681,0.000642,0.001528,1.004183308,0.984821454,1.023926
Age 60+ Female,0.014828,0.015964,1.014938795,0.983672669,1.047199,0.150637,0.145967,1.015177729,0.986545423,1.044641,0.000091,0.001858,1.001168293,0.955578784,1.048933,0.000535,0.002022,1.003481767,0.977963466,1.029666
Age 60+ Male,-0.00039,0.018221,0.999609675,0.964540516,1.035954,0.00592,0.164297,1.000592221,0.968884262,1.033338,0.001743,0.002128,1.022566387,0.969404429,1.078644,0.000751,0.002286,1.004892682,0.976054538,1.034583
All: LAG 4,-0.010803,0.006439,0.989255558,0.976848423,1.00182,-0.042471,0.058408,0.995761889,0.984427426,1.007227,0.000023,0.000753,1.000291416,0.981569671,1.01937,-0.001182,0.00081,0.992344447,0.98216084,1.002634
Female,0.001565,0.007957,1.001565867,0.986067171,1.017308,0.050899,0.071621,1.005102857,0.991092164,1.019312,0.000113,0.000933,1.001446426,0.978281708,1.02516,0.000402,0.000996,1.002618299,0.989971518,1.015427
Male,-0.030203,0.010125,0.970248242,0.951182606,0.989696,-0.193866,0.092929,0.980800121,0.963097471,0.998828,-0.000113,0.001179,0.998560441,0.969445902,1.028549,-0.00371,0.001281,0.976174002,0.96036938,0.992239
Warm All,-0.001272,0.00613,0.998728546,0.986801228,1.0108,-0.014261,0.074752,0.998574887,0.984051019,1.013313,-0.000406,0.00071,0.994811585,0.977243801,1.012695,-0.000051,0.000866,0.999665698,0.988697317,1.010756
Warm Female,0.008383,0.007509,1.008417922,0.993685357,1.023369,0.0971,0.090958,1.009757245,0.991915033,1.02792,-0.000057,0.000874,0.999272747,0.977596069,1.02143,0.001209,0.001055,1.007889832,0.994437381,1.021524
Warm Male,-0.016385,0.009546,0.983748819,0.965513029,1.002329,-0.196512,0.117717,0.980540659,0.958176042,1.003427,-0.000935,0.001098,0.98810486,0.961255495,1.015704,-0.002086,0.001361,0.986532881,0.969572693,1.00379
Cold All,-0.018603,0.00686,0.981569142,0.96846034,0.994855,-0.055492,0.04886,0.994466182,0.984988074,1.004035,0.000777,0.000822,1.009994272,0.989377281,1.031041,-0.001946,0.00076,0.987432266,0.977916954,0.99704
Cold Female,-0.002889,0.008572,0.997115002,0.980503034,1.014008,0.02958,0.060512,1.002962389,0.991137264,1.014929,0.000435,0.001028,1.005579756,0.979978148,1.03185,-0.000218,0.000946,0.998582983,0.986617281,1.010694
Cold Male,-0.043177,0.010938,0.957742123,0.937427841,0.978497,-0.1925,0.07888,0.980934106,0.965885061,0.996218,0.001301,0.001308,1.016789537,0.983958851,1.050716,-0.004681,0.001219,0.9700299,0.9550847,0.985209
Age 0-10 All,-0.02963,0.031285,0.970804277,0.913065046,1.032195,-0.314393,0.283968,0.969049776,0.916588246,1.024514,-0.000393,0.003575,0.994977424,0.909633772,1.088328,-0.002808,0.003992,0.981914657,0.933227592,1.033142
Age 0-10 Female,-0.02691,0.041775,0.97344842,0.896918989,1.056508,-0.353823,0.384636,0.965236374,0.895143841,1.040817,-0.006109,0.004763,0.924778268,0.820628485,1.042146,-0.004723,0.005394,0.969767896,0.905363043,1.038754
Age 0-10 Male,-0.032518,0.040089,0.968005422,0.8948569,1.047133,-0.291155,0.359012,0.971304253,0.905306326,1.042114,0.004412,0.004588,1.058092437,0.943056417,1.187161,-0.001167,0.005065,0.992445229,0.93042941,1.058595
Age 11-60 All,-0.014831,0.007539,0.985278144,0.970825881,0.999946,-0.066672,0.068392,0.993355016,0.980128117,1.00676,-0.000757,0.000883,0.990357616,0.968648924,1.012553,-0.001375,0.000946,0.991101738,0.979225302,1.003122
